@relation G__Datasets_5151_training_data_5151

@attribute text string
@attribute @@class@@ {neg,neu,pos}

@data
' कहानी को ठीक से समेटा नहीं गया है\r\n',neg
' ‘एक था दीवाना’ में वे निराश करते हैं\r\n',neg
' आरिफ के पास कुछ करने को था ही नहीं\r\n',neg
' सुदीप को जब जानी और बिंदु के प्यार के बारे में पता चलता है, तो वह आगबबूला हो जाता है\r\n',neg
' सुनयना पर भी अंगद का ऐसा खौफ है कि वह कुछ नहीं बोलती\r\n',neg
' सुनीता भी दिलावर को चाहती है, लेकिन अमीर पिता को गरीब घर की बहू लाना मंजूर नहीं\r\n',neg
' सुरक्षा की दृष्टि से प्रशासन कर्फ्यू लगा देता है\r\n',neg
' सुस्त रफ्तार से आगे खिसकती बरसों पुरानी कहानी के साथ कमजोर स्क्रिप्ट ने भूषण को अपना टैलंट दिखाने का ज्यादा मौका नहीं दिया\r\n',neg
' सूत्रों की मानें तो अमोल इस फिल्म को जिस स्टाइल से बना रहे थे, उससे आमिर संतुष्ट नहीं थे\r\n',neg
' सूरज के पापा छोटे से कस्बे में अफसर हैं और हर काम के लिए रिश्वत लेते हैं\r\n',neg
' सूर्या को अब हर कोई बॉस के नाम से जानता है और बॉस का ऐसा खौफ है कि उसे सामने देखते ही विरोधियों के छक्के छूट जाते हैं\r\n',neg
' सेक्स लाइफ भी डिस्टर्ब हो जाती है क्योंकि पति-पत्नी के बीच बच्चा सोने लगता है\r\n',neg
' सेक्स से सम्बंधित सवालात हो रहे हैं और सभी जवाब भी देते जा रहे हैं जो की बिलकुल भी मनोरंजित नहीं करता\r\n',neg
' आवाज और लिप्स के मूवमेंट में तालमेल नज़र नहीं आता\r\n',neg
' सैफ और उनकी केमिस्ट्री एकदम ठंडी रही\r\n',neg
' सैम इस फैंटम कॉल के बारे में पता लगाने की कोशिश करता है, लेकिन कुछ पता नहीं चलता\r\n',neg
' सैम उस फोन को तोड़कर फैंकता है, लेकिन फोन फिर उसके पास पहुंच जाता है\r\n',neg
' सैम की जिंदगी में यही सेकंड हैंड फोन भूकंप लाता है\r\n',neg
' सैम की संगत में डरपोक पृथ्वी के जमीर की अग्निपरीक्षा प्रारंभ हो  जाती है\r\n',neg
